"kingdom","order","count"
"Bacteria","Desulfuribacillales",3
"Bacteria","Desulfurobacteriales",15
"Bacteria","Desulfuromonadales",78
"Bacteria","Dethiobacterales",19
"Chromista","Developayellales",1
"Bacteria","DG-27",1
"Animalia","Diadematoida",49
"Animalia","Diaphanopterodea",54
"Fungi","Diaporthales",4294
"Animalia","Diclybothriidea",78
"Plantae","Dicranales",2217
"Animalia","Dictyoceratida",789
"Chromista","Dictyochales",30
"Bacteria","Dictyoglomales",5
"Chromista","Dictyoneidales",15
"Chromista","Dictyosiphonales",14
"Protozoa","Dictyosteliales",73
"Chromista","Dictyotales",157
"Animalia","Didelphimorphia",330
"Chromista","Dileptida",82
"Plantae","Dilleniales",619
"Fungi","Dimargaritales",14
"Chromista","Dinophysiales",182
"Animalia","Dioctophymatida",19
"Plantae","Dioscoreales",1049
"Protozoa","Diphylleida",3
"Animalia","Diphyllidea",69
"Animalia","Diphyllobothriidea",127
"Plantae","Diphysciales",17
"Animalia","Diplobelida",1
"Protozoa","Diplonemida",5
"Bacteria","Diplorickettsiales",10
"Animalia","Diplostomida",1364
"Animalia","Diplostraca",1515
"Animalia","Diplura",577
"Animalia","Diprotodontia",525
"Plantae","Dipsacales",1586
"Animalia","Diptera",175228
"Plantae","Disceliales",1
"Chromista","Discoasterales",17
"Chromista","Discosporangiales",2
"Protozoa","Dissociodihaplophasida",362
"Bacteria","Dissulfuribacterales",20
"Protozoa","Distomatida",18
"Fungi","Distoseptisporales",60
"Fungi","Diversisporales",168
"Plantae","Dixoniellales",2
"Fungi","Doassansiales",56
"Plantae","Dolichomastigales",5
"Animalia","Dolichomicrostomida",88
"Animalia","Doliolida",26
"Bacteria","Dongiales",10
"Bacteria","Dormibacterales",34
"Animalia","Dorylaimida",2559
"Fungi","Dothideales",1567
"Archaea","DRAE01",1
"Bacteria","DRJJ01",1
"Bacteria","DRLM01",1
"Bacteria","DRLW01",8
"Bacteria","DRMK01",4
"Bacteria","DRVO01",3
"Bacteria","DRWM01",6
"Bacteria","DSGV01",1
"Bacteria","DSLN01",2
"Bacteria","DSOJ01",1
"Bacteria","DSPP01",4
"Bacteria","DSSB01",3
"Bacteria","DSTF01",4
"Bacteria","DSUL01",2
"Bacteria","DSUN01",4
"Bacteria","DSWA01",1
"Bacteria","DT-59",1
"Archaea","DTBS01",1
"Archaea","DTDM01",1
"Bacteria","DTEH01",2
"Bacteria","DTGQ01",2
"Bacteria","DTHP01",1
"Bacteria","DTIG01",1
"Bacteria","DTJE01",11
"Bacteria","DTJY01",2
"Bacteria","DTKB01",1
"Bacteria","DTKN01",3
"Bacteria","DTKO01",1
"Archaea","DTKX01",2
"Bacteria","DTLA01",3
"Bacteria","DTLL01",1
"Bacteria","DTNB01",1
"Archaea","DTNL01",6
"Bacteria","DTOW01",1
"Bacteria","DTPP01",2
"Bacteria","DTQI01",1
"Bacteria","DTRM01",1
"Bacteria","DTU010",36
"Bacteria","DTU014",2
"Bacteria","DTU022",65
"Bacteria","DTU080",6
"Bacteria","DTU086",4
"Bacteria","DTU087",12
"Bacteria","DTUO25",9
"Bacteria","DUEN01",2
"Bacteria","DULZ01",4
"Bacteria","DUMF01",1
"Bacteria","DUMP01",6
"Bacteria","DUMW01",1
"Plantae","Dunaliellales",2
"Bacteria","DUPQ01",6
"Viruses","Durnavirales",171
"Bacteria","DUSP01",1
"Bacteria","DY22613",2
"Fungi","Dyfrolomycetales",6
"Chromista","Dysteriida",81
"Bacteria","E26-bin7",1
"Bacteria","E44-bin15",5
"Bacteria","E44-bin18",1
"Protozoa","Ebriida",10
"Protozoa","Eccrinida",100
"Animalia","Echiniscoidea",349
"Animalia","Echinolampadacea",742
"Animalia","Echinoneoida",95
"Animalia","Echinorhagata",184
"Animalia","Echinorhynchida",589
"Protozoa","Echinosteliales",22
"Animalia","Echinothurioida",72
"Animalia","Echiuroidea",186
"Chromista","Ectocarpales",325
"Bacteria","Ectothiorhodospirales",47
"Chromista","Eiffellithales",149
"Bacteria","Elainellales",25
"Animalia","Elasipodida",211
"Animalia","Ellobiida",718
"Chromista","Ellobiopsida",1
"Animalia","Elopiformes",89
"Bacteria","Elsterales",7
"Bacteria","Elusimicrobiales",76
"Animalia","Embioptera",475
"Animalia","Enantiopoda",1
"Plantae","Encalyptales",44
"Animalia","Enchytraeida",941
"Animalia","Encrinida",14
"Fungi","Endogonales",43
"Bacteria","Endomicrobiales",21
"Chromista","Endothyrida",2010
"Animalia","Enoplida",2018
"Bacteria","Enterobacterales",1450
"Bacteria","Enterobacterales_A",19
"Animalia","Entomobryomorpha",4380
"Fungi","Entomophthorales",347
"Fungi","Entorrhizales",19
"Protozoa","Entosiphonida",28
"Bacteria","Entotheonellales",3
"Fungi","Entrophosporales",12
"Plantae","Entwisleiales",1
"Fungi","Entylomatales",291
"Animalia","Eoblattida",17
"Plantae","Ephedrales",104
"Animalia","Ephemeroptera",4347
"Plantae","Equisetales",212
"Bacteria","Eremiobacterales",7
"Fungi","Eremithallales",68
"Plantae","Ericales",15782
"Animalia","Erinaceomorpha",250
"Bacteria","Erysipelotrichales",189
"Fungi","Erythrobasidiales",16
"Plantae","Erythropeltidales",39
"Plantae","Escalloniales",166
"Animalia","Esociformes",61
"Animalia","Esthonioporata",10
"Chromista","Ethmodiscales",21
"Animalia","Euaxosida",62
"Bacteria","Eubacteriales",72
"Protozoa","Eubodonida",2
"Chromista","Eucoccidiida",1
"Chromista","Eucoccidiorida",314
"Protozoa","Euglenida",465
"Chromista","Eugregarinida",45
"Chromista","Eugregarinorida",503
"Animalia","Euhirudinea",24
"Animalia","Eunicida",1677
"Chromista","Eunotiales",1133
"Animalia","Euphausiacea",90
"Chromista","Euplotida",301
"Fungi","Eurotiales",1821
